venue	tags
v284	[' dinner', ' ellen degeneres', ' late night', ' lunch', ' paula dean', ' snack', ' zagat rated', 'cheapism', 'cheapskate', 'hot dogs', 'recession special', 'smoothies', 'upper west side']
v291	['batali', 'mario batali', 'showtime network']
v307	['nan']
v308	['cocktails', 'private events', 'special occasion', 'steak', 'steakhouse']
v309	['dessert', 'icecream']
v313	['catering', 'mangia', 'midtown']
v315	['choice eats', 'enchiladas', 'guacamole', 'margaritas', 'mexican', 'socialite', 'spicy', 'tacos', 'village voice', 'village voice choice eats', 'voicestreet']
v316	['br guest hospitality', 'broadway', 'delivery', 'dumplings', 'kids cooking classes', 'pan-asian', 'post-theater', 'pre theater', 'pre-theater', 'rice', 'sake', 'sushi', 'times square']
v317	['burgers']
v318	['not egg rolls', 'pho', 'spring rolls', 'summer rolls', 'vietnamese food']
v328	"['burgers', 'egg cream', ""paul's palace""]"
v332	['alcohol', 'brunch', 'coffee', 'home fries', 'hot toddy', 'mediterranean food', 'omelette', 'outdoor dining', 'steak & eggs']
v337	['chinatown', 'chinese', 'chinese food', 'late night food', 'lo mein', 'wonton soup']
v339	"['delivery', ""margarita's"", 'mexican', 'salsa', 'vegetarian-friendly']"
v349	['kebab', 'lahmajun']
v355	['bravoandy', 'margaritas', 'mexican', 'social dining', 'tacos', 'top chef', 'zagat-rated']
v356	['br guest hospitality', 'brunch', 'chocolate bag', 'museum of natural history', 'online reservations @ www.isabllas.com', 'outdoor seating', 'upper west side', 'www.brguesthospitality.com', 'zagat', 'zagat rated']
v358	"['jazz', ' live', "" 1940's"", ' speakeasy', ' lounge', ' dark', ' cool', ' hotel', ' bar']"
v359	['nan']
v360	['bakery', 'brownies', 'cakes', 'coffee', 'cupcake', 'cupcakes', 'dessert', 'desserts', 'pudding', 'sex in the city', 'tourists', 'zagat-rated']
v362	['bar', 'steakhouse', 'zagat-rated']
v364	['nan']
v370	['a-list', 'bar', 'beer', 'italian', 'wine']
v371	['clued', 'good_mark', 'izakaya', 'j-punks', 'japanese', 'sake']
v377	['nan']
v381	['colonial', 'historical', 'old timey', 'shopping 28 campos-rj']
v382	['359 1st ave not 358', 'bagel', 'cafe', 'coffee']
v389	['bakery', 'coffee', 'ginger honey iced tea']
v390	[' dinner', ' fish', ' meatloaf', ' paula dean', ' vegan', ' vegetarian', 'american home cooking', 'breakfast', 'lunch', 'new york', 'the real l word', 'zagat-rated']
v395	"['beer', 'burgers', ""mac 'n cheese"", 'salads', 'sandwiches', 'wine']"
v396	['burgers', 'pizza']
v404	['steak']
v408	['ask men', 'barbeque', 'bbq', 'bon appetit mag', 'bourbon', 'bravo', 'brooklyn', 'buroughs', 'cnn', 'cnn world cup', 'douchebag', 'douchebags', 'foodie', 'garment district', 'gossipgirl', 'hala hala', 'lobster', 'magazine', 'manhattan', 'mutton', 'new york magazine', 'old stuff', 'outdoor', 'outdoors', 'pipes', 'pizza', 'salmon', 'scotch', 'sport bar', 'steak', 'steak tartare', 'steakhouse', 'super fan', 'time out-new york', 'top chef', 'world cup', 'wsj', 'wsj luch box', 'zagat-rated']
v410	['nan']
v415	['animatronic robots', 'family friendly', 'gothic', 'horror show', 'victoriana']
v417	['burritos', 'margaritas', 'mexican', 'mexican food', 'tacos', 'tourists']
v419	['brunch', 'opentable']
v422	['balthazar bread', 'bistro', 'french']
v423	['burgers', 'classic']
v424	['burritos', 'chips', 'salsa']
v434	['beer', 'deli', 'sandwiches', 'smokes', 'snacks', 'soda']
v442	['nan']
v446	['fish', 'restaurant', 'seafood']
v447	"['bakery', 'best coffee', 'best dessert and best space in nyc', 'brunch', 'cake', 'cash only', 'cheese cake', 'coffee', 'dessert', 'food', 'movie venue', 'restaurant', ""you've got mail!""]"
v448	['nan']
v449	['brooklyn', 'burgers', 'cupcakes', 'diner', 'giant muffins and coockies', 'great staff', 'hipsters', 'late night', 'milkshakes', 'munchies', 'puma social hotspot', 'specials']
v452	['brunch', 'ceviche', 'cuban', 'hot bartender', 'latin', 'mojitos', 'sangria', 'taco cart', 'tapas', 'ty ku']
v457	['brunch', 'diner', 'food']
v461	['bastille day']
v466	['nan']
v468	['back patio', 'thai food']
v470	['italian', 'pasta', 'wine']
v471	['beer', 'italian', 'outdoor seating', 'pizza']
v472	['bar', 'margaritas', 'patio']
v473	['burgers', 'meatloaf', 'older crowd']
v474	['bar', 'bistro']
v476	['bar', 'brazilian', 'coffee', 'coffee shop', 'diner', 'douchebag', 'manhattan', 'patio', 'socialite', 'union square']
v478	['great bartenders!', 'i love to eat at the bar--tom valenti is a genius', 'perfect martinis and gibsons']
v480	['best thai food outside of thailand', 'cash only', 'garden', 'restaurant', 'soup', 'thai', 'vegetarian friendly']
v482	['brunch', 'celebrity chef', 'cocktail list', 'creme brulee', 'frites', 'late night', 'outdoors seating', 'steak']
v486	['food', 'italian', 'pasta']
v494	['bowling alley', 'dog run', 'fried chicken', 'gallery', 'karaoke bar', 'play ground', 'record shop', 'ski area', 'vegetarian\\/vegan']
v497	['bar', 'coffee', 'food', 'laptop', 'snacks', 'wifi', 'wine']
v499	['cab drivers', 'cheap', 'delicious', 'pakistani', 'recommended', 'saag aloo', 'samosas', 'soho']
v504	['chips', 'mango margarita', 'margaritas', 'mexican', 'salsa', 'tex mex']
v507	['cocktail']
v512	['delicious']
v514	['brunch', 'pizza']
v518	['brunch', 'dinner', 'gabrielle hamilton', 'lunch', 'prune juice', 'radishes', 'steak']
v523	['beer', 'british', 'chips', 'credit card accepted', 'fish', 'fish and chips', 'fried mars bars', 'good_mark', 'seafood', 'standing room']
v526	['a quest for the best burger', ' best burgers in nyc', ' dmanburger', 'brunch']
v528	"['brooklyn', 'desserts', 'hipsters', 'pizza', 'pizzeria', 'tasty custom pizza', 'tom hanks', 'trendy', 'vegan', 'vegan pizza', 'vegan treats', ""vinnie's pizzeria""]"
v529	['nan']
v531	['comedy cellar', 'shwarma']
v534	['aaron burr', 'balcony', 'bravo', 'carriage house', 'fireplace', 'photobooth', 'piano', 'romantic', 'salon', 'zagat-rated']
v543	['burgers', 'closed', 'dj', 'martinis', 'steaks', 'sushi', 'ues']
v544	['big ass fan', 'big ass fans', 'clued', 'masters of the universe', 'rooftop']
v545	['japanese', 'japanese street food', 'okonomiyaki', 'snacks', 'takoyaki']
v549	['bastille day', 'bravo', 'brooklyn', 'brunch', 'coq a vin', 'croque madame', 'french', 'futbol', 'jazz', 'live music', 'moules frites', 'park', 'ricard', 'sidewalk seating']
v552	['coffee']
v554	['american bistro', 'best breakfast in nyc', 'media executives', 'outside patio']
v555	['chelsea', 'italian', 'recommended', 'wine', 'wine bar']
v561	['nan']
v563	['brunch', 'happy hour', 'outdoor seating']
v564	['24 hours', 'bravo', 'bravoandy', 'brunch', 'chicken & waffles', 'hangover', 'late night', 'mac and cheese', 'open 24 hours', 'outdoor seating', 'scene', 'steak & eggs', 'top chef', 'trendy', 'zagat-rated']
v571	[' with a twist!', 'beers', 'great southern food']
v573	['sandwiches']
v575	['brunch', 'open 24 hours']
v577	['nan']
v578	['beer', 'brewery tour', 'brooklyn', 'hipster']
v581	['coffee', 'facebookphotosniffer', 'good_mark', 'hipsters', 'people-watching']
v585	['ceviche', 'chips and salsa', 'happy hour', 'lobster', 'margaritas', 'mexican food margaritas tacos enchiladas rib eye c', 'monday wine lovers special']
v590	['chicken', 'had the fish with five flavors again!  taste so good!', 'spanish & chinese restaurant', 'spanish restaurant']
v591	['bravo', 'combo', 'fruit drinks', 'good_mark', 'hot dogs', 'papaya']
v602	['asian fusion', 'black rice', 'cheap and tasty', 'communal tables', 'crowds', 'curry', 'food', 'manhattan', 'noise', 'noodles', 'pad thai', 'restaurant', 'tofu', 'vietnamese']
v603	['nan']
v608	['american', 'danny meyer', 'french', 'hiphostessnyc top pick', 'italian', 'pat lafrieda', 'zagat rated']
v609	"[""america's first pizzeria"", 'coal oven pizza', 'pizza', 'zagat', '?']"
v614	['nan']
v618	['azn', 'brunch', 'fried chicken', 'thai']
v624	['breakfast', 'coffee', 'coffeeshop', 'diner', 'discofries', 'latenight', 'liquor', 'pie']
v626	[' 24-hours', ' dessert', ' dinner', ' espresso', ' vegan options', '24\\/7 - always open', 'beer and wine', 'bruch special $10.95', 'brunch', 'champagne cocktails', 'coffee', 'garden', 'happy hour']
v630	['3 michelin stars', 'bravo', 'eric ripert', 'fine dining', 'french', 'michelin star', 'rated by zagat', 'restaurant', 'seafood', 'wine', 'zagat rated', 'zagat-rated']
v631	['fried chicken', 'fried chicken joint', 'soul food', 'waffles']
v632	['booths', 'bravo', 'celebs', 'edward sorel mural', 'fireplace', 'fran lebowitz', 'garden', 'graydon carter', 'mac & cheese']
v638	['breakfast', 'salads']
v639	['bravo', 'chinese', 'fried dumplings', 'scallion pancake', 'soup dumplings', 'zagat', 'zagat-rated']
v640	['br guest hospitality', 'guacamole', 'margaritas', 'online reservations @ www.doscaminos.com', 'private room', 'salsa', 'sangria', 'tacos', 'tequila', 'www.brguesthospitality.com']
v648	['brunch', 'jam']
v649	['mexican']
v653	['dumplings', 'excellence']
v654	['bbq', 'bbq pitmaster', 'bourbon', 'burger', 'comfort food', 'kansas city ribs', 'macaroni and cheese', 'north carolina bbq', 'nymag', 'pat lafrieda', 'people', 'restaurant', 'socialite', 'tequila', 'tlc summer']
v655	['amazing giblet gravy', 'down home breakfast', 'foodnetwork', 'fried chicken joint', 'harlem', 'lenox', 'nyc', 'restaurant', 'short ribs are delicious!', 'soul', 'soul food', 'sylvia', 'the best cornbread', 'the best red velvet cake', 'zagat']
v656	['patio', 'portuguese']
v662	['pizza']
v663	['michelin star', 'wall street journal', 'wine', 'wsj']
v669	['chinese']
v675	['alaskan king crab', 'crab cakes', 'crabs', 'craft beers', 'happy hour', 'lobster', 'outdoor seating', 'oyster bar', 'seafood', 'wine bar']
v676	['bravo', 'bravoandy', 'china town', 'seafood']
v677	['nan']
v681	['pizza']
v686	['byow', 'cash only', 'good_mark', 'organic', 'vegan', 'vegetarian']
v687	['nan']
v692	['sushi']
v695	"['bar', 'brunch', 'burgers', 'cocktails', 'cool staff', 'dinner', ""dorrian's"", 'drinks', ""enormous pannini's"", 'enormous wraps', 'food', 'fun', 'late night', 'lunch', 'outdoor seating', 'parties', 'preppy', 'redskins football', 'sports']"
v696	['amazing italian food!', 'babaresco', 'barolo', 'joe bastianich', 'mario batali', 'wine']
v699	['bravo', 'zagat-rated']
v700	['#vday', 'bakery', 'bar', 'bistro', 'blackbook', 'blogger hangout', 'bouillibaise', 'bread', 'breakfast', 'briertown', 'catering', 'celebrities', 'celebrity', 'coffee', 'cookbook', 'cuisine', 'cupcake', 'delivery', 'french', 'how to make it in america', 'lunch', 'mario batali', 'nymag', 'oysters', 'pastries', 'restaurant', 'snails', 'soho', 'take-out', 'tartare', 'trendy', 'where to eat 2011', 'wsj', 'zagat-rated', 'zagat_rated']
v711	['nan']
v713	[' baseball', ' new york yankees', 'micky mantle']
v717	['nan']
v718	['burger', 'daniel boulud', 'db burger', 'french', 'theater district']
v721	['bar', 'bravo', 'caviar sandwich', 'gossip girl', 'huffpost', 'ifc', 'oyster bar - grand central', 'pizza', 'raw bar', 'scallop pan roast', 'strip club', 'trendy', 'wsj', 'wsj lunch box', 'zagat-rated']
v723	"['cash only', 'dessert', ""don't forget to bring cash... no plastic accepted "", 'hot people', 'italian food', 'lounge', 'luckymag', 'outdoor seating', 'pasta', 'people', 'people mag', 'people magazine', 'people vip', 'people watching', 'sexy people', 'socialite']"
v733	['chinese']
v740	['abita', 'bar', 'bbq', 'cajun', 'creole', 'oysters', 'raw bar', 'seafood']
v741	['american', 'brunch', 'comfort food', 'fried chicken', 'good_mark']
v744	['dan barber', 'michelin star']
v749	['bone marrow', 'fried chicken', 'oysters']
v751	['sushi']
v753	['pasta', 'wine']
v756	['noise']
v764	['bbq', 'bouley', 'bravo', 'fantastic lunch', 'michelin star', 'people hot spot badge', 'people vip', 'vip', 'zagat', 'zagat-rated']
v769	['bravo', 'brooklyn', 'cheesecake', 'dining hall', 'massive sandwiches', 'seafood', 'the original', 'zagat rated', 'zagat-rated']
v770	['cigar']
v771	['nan']
v772	"[""can't get in"", 'celebrities', 'classic new york', 'no reservations', 'own your table', 'the mob']"
v773	['@bryant park', 'bryant park grill', 'grill', 'midtown', 'nlo', 'public library', 'restaurant', 'rooftop bar', 'zaga-rated', 'zagat-rated']
v774	['brunch', 'dinner', 'lunch']
v781	['cuban food', 'restaurant']
v784	['2 for 1 sangria', 'bacon wrapped shrimp', 'paella', 'private party room', 'sangria', 'spanish', 'tapas']
v787	['daniel boulud', 'lamb', 'michelin star', 'restaurant']
v788	['bar', 'beer', 'bloody mary', 'booze', 'brooklyn', 'brunch', 'burger', 'bustle', 'classic', 'cocktails', 'foodie', 'hipster', 'retro', 'williamsburg']
v792	['blackbook', 'bravo', 'chicken', 'gossip girl', 'gossip girls', 'tom colicchio', 'top chef', 'zagat-rated']
v801	['bobby flay', 'celebrity-chef', 'restaurant', 'southwest']
v804	['bistro', 'french', 'zagat']
v807	['cheap', 'sushi']
v808	['nan']
v809	['837', 'bar', 'cocktails', 'dessert', 'launch my line', 'old new york', 'restaurant', 'seafood', 'steak', 'suits', 'wine']
v812	[' breakfast', ' dinner', ' ellen degeneres', ' lunch', ' paula dean', ' vegan', 'american', 'comfort-food', 'grilled cheese', 'hamburgers', 'macaroni and cheese', 'meatloaf', 'midwestern', 'zagat rated']
v813	['choice eats', 'cup cake', 'egg cream', 'gossip girl', 'lime rickey', 'nymag', 'pastrami', 'sandwich', 'socialite']
v824	['sushi']
v830	['inexpensive', 'itallian', 'wine']
v833	['bakery', 'cake', 'candle', 'candle cafe', 'cookies', 'farm', 'gluten-free', 'juice bar', 'local', 'organic', 'organic beer', 'organic wine', 'sustainable', 'vegan', 'vegetarian']
v834	['foie gras', 'tasting menu']
v837	['\\food truck\\', 'astor place', 'coffee', 'food truck', 'mobile', 'mudtruck', 'new york street coffee', 'ziggys wagon']
v840	"['best cupcakes', 'coffee', 'cupcake', ""cupcake cafe - hell's kitchen"", 'dessert', 'just dessert', 'moriza', 'tlc summer', 'trendy', 'valentine', ""valentine's day""]"
v841	['bistro', 'french', 'garden', 'outdoor space', 'restaurant', 'wine']
v845	['cake', 'cheesecake', 'cheesecakes', 'dessert', 'italian', 'places to see in nyc']
v851	['brunch']
v859	['asian fusion', 'chinese', 'new york', 'radio city', 'restaurant', 'rockefeller center', 'times square', 'zagat-rated']
v874	['beer', 'cheeseburger', 'dessert', 'fish', 'hamburger', 'oysters', 'puma', 'seafood', 'steak', 'wall street journal', 'wine', 'wsj', 'wsj lunch box']
v884	['lobster roll', 'oysters', 'restaurant', 'seafood', 'sundae', 'west village']
v885	['nan']
v886	['indonesian', 'malaysian', 'singaporean']
v890	['steak', 'steakhouse', 'zagat-rated']
v899	['bar', 'burgers', 'cash only', 'cheap beer', 'great fries', 'hamburger', 'late night food', 'old stuff', 'yum yum yum']
v905	['a bit fishy', 'bravo', 'fish', 'japanese', 'japanese food', 'loads of fish', 'lots of fish', 'rude waiter carl krebs', 'rude waiter carl krebs!!!!', 'rude waiters!!!', 'socialite', ' exclusive', ' $$$$', ' jetsetter', 'sushi', 'zagat rated']
v907	['nan']
v908	['bagels', 'cream cheese', 'ice coffee', 'orangina', 'perry ellis']
v909	['nan']
v910	['nan']
v911	['vegetarian']
v916	['nan']
v917	['gastronomy', 'outside seating', 'patio', 'romantic', 'small venue']
v920	['late night', 'pizza']
v925	['diner', 'knish', 'kosher', 'matzoh ball soup', 'pastrami']
v926	['italian', 'restaurant', 'tribeca']
v928	['awesome bacon', 'bbq', 'bravo', 'brooklyn', 'cash only', 'classic ny', 'creamed spinach', 'financial district', 'gossip girl', 'grumpy waiters', 'lunch', 'porterhouse', 'schlag', 'sundae', 'time out', 'time out new york', 'timeout', 'timeout magazine', 'timeoutny', 'top chef', 'wsj', 'wsj lunchbox', 'wsj urban adventurer', 'zagat rated']
v933	['nan']
v938	['hipsters', 'italian', 'outdoor seating']
v945	['burrito', 'full bar', 'late night', 'mexican food', 'tacos']
v946	['pho', 'vietnamese']
v948	['douchebag', 'family style', ' italian']
v954	['chinese', 'dim sum', 'seafood']
v955	['beer', 'burger', 'cheeseburger', 'fries', 'hooters', 'shrimp', 'surfer', 'wings']
v957	['burlesque', 'cabaret', 'caberet', 'cocktails', 'jazz', 'live music', 'outdoor', 'park']
v958	['bar dining', 'brunch', 'caviar', 'crab', 'dinner', 'fish', 'lounge', 'lunch', 'outdoor dining', 'oysters', 'restaurant', 'seafood', 'soho']
v962	['chinese', 'duck', 'restaurant']
v971	['chinatown', 'ph?']
v974	['2chicksinc', 'aycd', 'bar', 'brunch', 'cocktails', 'martini', 'trendy']
v980	['burgers', 'live jazz', 'live music', 'restaurant', 'spinach artichoke dip', 'steak', 'veggie burger']
v981	['nan']
v984	['barf', 'bellini', 'italian', 'zagat', 'zagat rated']
v985	['drunk people', 'good_mark', 'hot dog', 'late night', 'pdt', 'tater tots', 'trendy', 'trendys', 'video games']
v986	['nan']
v996	['brunch', 'french bistro', 'tribeca', 'zagat-rated']
v998	['french', 'wine']
v999	['nan']
v1001	['chicken madras', 'phaal challenge', 'phaal curry monster']
v1002	['douchebag', 'douchebags', 'escape from nyc', 'slow service']
v1008	['bring a date', 'brooklyn', 'calamari', 'cocktails', 'dark restaurant', 'great food', 'lunch']
v1016	['nan']
v1025	['michelin star', 'zagat']
v1030	['enchiladas', 'good ambiance', ' have a dos equi', 'tacos']
v1031	"['bon appetit mag', 'bravo', 'danny meyer', 'eater 38', ""farmer's market"", 'food truck', 'manvsfood', 'michelin star', 'tom colicchio', 'topchef', 'zagat rated']"
v1035	['tapas']
v1036	['bravo', 'bravozagat', 'zagat']
v1038	['cajun food', 'jukebox']
v1043	['cocktails', 'dessert', 'friendly staff', 'great service', 'tempura green beans']
v1049	['bravo', 'vegan', 'vegetarian', 'zagat-rated']
v1050	['late night food']
v1055	['nan']
v1060	['bar', 'beijing duck', 'chinese', 'fine dining', 'restaurant']
v1063	['24 hours', 'amazing pie', 'breakfast', 'burgers', 'coffee', 'dinner', 'restaurant', 'steak']
v1064	['nan']
v1065	['french', 'wine']
v1066	['chinese restaurant', 'midtown', 'new york']
v1069	['$2 miller high life', 'all day happy hour', 'beer', 'gluten-free options', 'kids', 'pie by the pound', 'pizza', 'vegan options']
v1070	['bar', 'tapas']
v1071	['cuban', 'cuban sandwich', 'greasy']
v1073	['cuban', 'sangria', 'yuca fries']
v1075	['24 hour', 'bar', 'diner', 'perogies']
v1085	['nan']
v1086	['24 hours', 'a-lite', 'blintzes', 'bon appetit mag', 'borscht', 'breakfast', 'deliciousness', 'free wi-fi', 'gallery', 'hipsters', 'nymag', 'people hot spot', 'people vip', 'people vip badge', 'pierogies', 'raspberry iced tea', 'russians', 'socialite', 'ukraine', 'ukrainian', 'veselka', 'waffles']
v1091	['bravo', 'brunch', 'extensive wine list', 'italian', 'late night', 'panini', 'rare vos beer', 'wine']
v1092	['bar', 'bloodymary', 'brunch', 'coffee', 'dessert', 'dinner', 'happy hour', 'live music', 'lunch']
v1101	['nan']
v1105	['bowling alley', 'breakfast', 'diner', 'dog run', 'fried chicken', 'gallery', 'karaoke bar', 'late night', 'latenight', 'play ground', 'record shop', 'ski area', 'vegetarian']
v1107	['nan']
v1108	['bakery', 'cappuchino', 'dessert', 'food', 'gelato', 'ice cream', 'italian', 'little italy', 'manhattan', 'pastries', 'tiramisu']
v1109	['buffet', 'churrascaria', 'dining experience', 'gossip girl', 'graphic.ly', 'great service', 'live music', 'restaurant', 'steak', 'steakhouse', 'zagat rated', 'zagat-rated', 'zagat-survey']
v1111	['cheese', 'food', 'italian wine', 'outdoor seating', 'tapas', 'wine', 'wine flights']
v1112	['nan']
v1117	['nan']
v1118	[' beer', ' chicken', ' churrasco', ' salads', ' sandwiches', ' shakes', ' wine', 'burger', 'burgers', 'milkshake']
v1119	['bento', 'japanese', 'sushi']
v1120	['nan']
v1124	['nan']
v1128	['nan']
v1129	['#turnred', 'boroughs', 'bravo', 'bravoandy', 'butter', 'frat boy', 'frat boys', 'french', 'gossip girl', 'nightclub', 'pizza', 'puma social hot spot', 'single', 'singles', 'trendy', 'turnred', 'wsj urban adventurer', 'zagat', 'zagat-rated']
v1130	['shanghainese', 'soup dumplings', 'xiao long bao']
v1137	['steak', ' wine', ' restaurant', ' foodies', ' eatnyc']
v1142	['harlem', 'mac and cheese', 'moroccan fried chicken']
v1143	[' medan', '@7ruhupdate', '@denymulyana', '@ravi brielianto', '@ricky garcia', '@sita', 'american ', ' steakhouse ', ' socialite ', ' andy cohen', 'barbeque', 'bbq', 'bravo', 'bravoandy', 'cimb niaga banjar', 'delicious', 'douchebag', 'foodie', 'frat boy', 'monfalcone', 'nightclub', 'photo booth', 'rie checked-in @perum kertasari ciamis', 'ring road', 'seafood', 'sep', 'socialite', 'steak house', 'the palm', 'top', 'top chef', 'zagat rated', 'zagat-rated']
v1152	['bravo', 'korean', 'll', 'piano', 'waterfall']
v1155	['breakfast', 'brunch', 'coffee', 'food truck', 'good_mark', 'hipster', 'mud coffee', 'wine & beer', 'x-marked']
v1156	['garden', 'lobster sandwich', 'oyster happy hour', 'oysters', 'pudding', 'sea food']
v1157	['meat packing district', 'seafood', 'steakhouse']
v1158	['korean', 'korean bbq', 'korean home cooking', 'quentin tarintino', 'restaurant']
v1163	['after hours', 'brunch', 'cocktails', 'dinner', 'lunch', 'margaritas', 'take out']
v1164	['nan']
v1165	['after work spot', 'bar', 'happy hour']
v1177	['bar', 'cheese', 'far far away', 'food', 'gelato', 'gluten free menu', 'italian', 'italian restaurant', 'joe bastianich', 'mario', 'mario batali', 'meat', 'new york', 'new york city', 'ny', 'nyc', 'olive oil', 'pasta', 'pizza', 'pizza place', 'restaurant', 'wine', 'wine bar', 'zagat', 'zagat-rated']
v1185	['nan']
v1186	['good mojitos', 'great food', ' drinks', ' entertainment', 'hip hop dancing', 'mexican food', 'mojitos', 'salsa (dance', ' that is)', 'salsa dancing', 'terrible service']
v1188	['homestyle']
v1192	['diner', 'fried chicken', 'good_mark', 'karaoke bar', 'omnivore', 'play ground', 'vegan', 'vegetarian', 'village']
v1193	['nan']
v1194	['nan']
v1201	['bar', 'bistro', 'crepes', 'fondue', 'french', 'huge salads', 'outdoor seating', 'salads', 'soup', 'steak frites']
v1211	['beer', 'brunch', 'cupcake', 'cupcakes', 'cute', 'muffins', 'rice krispy treats', 'vegetarian', 'wine']
v1216	['deli', 'italian', 'sandwiches', 'subs']
v1218	['bubble tea', 'food']
v1220	['blackbook', 'brooklyn', 'brunch venue', 'downstairs lounge', 'logotv', 'mixed crowd', 'private parties', 'the a-list', 'zagat']
v1222	['garden', 'jazz', 'social dining']
