userid	venue_id	tips
1180792	2000046	Get a head start to put your name on the waiting list. Expect a half hour wait but drop by Dylan's on the corner to kill some time. The Frozen Hot Chocolate is the draw. Yum.
1036206	2000046	Most of the desserts are HUGE! Sharing with a friend or date will still leave you satisfied.
1000645	2000046	Try the Frozen Peanut Butter Hot Chocolate - First time with the peanut butter. I approve! (via @Foodspotting)
1053381	2000046	They hype should be about the chicken wings...delicious and the blu cheese...yum!
1033560	2000046	Andy Warhol used to be a regular here.
1033560	2000046	The $1,000 Golden Opulence Sundae includes: Tahitian ice cream, gold leaf, expensive chocolate, candied French fruit, Grand Passion Caviar and a souvenir crystal goblet.
1016499	2000046	Dylan's takes reservations, but they recommend doing so two weeks in advance.
1023200	2000046	Nice atmosphere...frozen chocolate ok but not a big deal at all service even worst...no tks!
1118710	2000047	Great for twists and iced lattes in the summer.
1021881	2000047	fantastic vibe and snacks at 71 Irving. stepping down into a cozy nook for any occasion here is totally worth it!
1033575	2000047	No wifi...but GOOD coffee.
1034450	2000047	Sit by the window and alternate people-watching the crowds on the street and in the cafe. Mochaccinno (hot or cold) FTW!
1047683	2000047	The people here are mean. Especially the curly haired register girl.
1073726	2000047	Great place! Ull love the vibe, its like ur in some1's home.
1054949	2000047	Great coffee and great location. Warning: if you want to sit down for a while, you may have to wait. People come in and plant themselves for long periods of time.
1043127	2000047	Some of the staff really have attitude problems.
1015414	2000047	Free hot water refills with tea!
1043127	2000047	They raised their prices! :( $4.15 for a freaking cupcake? C'mon people!
1069549	2000052	Try the pollo alla grilga. It was damn good.
1017874	2000059	Great place for Sunday brunch, especially with the live jazz.
1043293	2000077	Bad service, rude manager, can't take more than 6 cards and didn't tell us, took 45 minutes to pay, slow, unapologetic, and average food.
1020186	2000077	@kvedd loves the salmon here.
1264033	2000077	The waitress is
1021452	2000077	Order bottomless mimosas 2 at a time. They take that long to be delivered.
1117498	2000078	Miso soup w mushrooms, cold buckwheat noodles, grilled salmon neck, sushi, green tea, salmon skin hand rolled, extra fatty toro, miso ramen
1198227	2000083	Baruch District 10% Discount.
1078275	2000086	5stars across the board (1) informed and friendly staff, (2) inventive cocktails and wine list, (3) menu cover, (4) dishes are unlike anything you've had, (5) desserts will seduce you.
1028031	2000086	Skip the cocktails, order the wine. The Duck Rye is a must
1196154	2000086	Don't be afraid! The food here is incredible, and the experience will change the way you look at dining! Open your mind :)
1043293	2000088	Did you know: $8.50 chicken pot pie!!! You're welcome.
1029831	2000088	Good food, good prices, good location, great staff! Why wouldn't you go?
1215619	2000098	momos? did someone say momo? the barley ice cream is oh so tasty as well. did i mention the tibetan dumplings? why yes, i will have the momos. extra hot sawce please.
1141794	2000099	Try the Creme Brulee - #sweet #nom (via @Foodspotting)
1201903	2000099	It's just so incredibly cute.
1025121	2000099	late at night, the french fries are awful.
1258663	2000102	Everything I've tried here is great! It reminds me of a \
1025807	2000105	Try the Baked Eggs w\/ Tomato and Basil - Get the Merguez sausage! (via @Foodspotting)
1116117	2000105	Try the orange waffle with fruits and maple syrup for BF. The focaccia with mozzarella, tomatoes and olives tapenade is also great.
1011282	2000105	There's a crocodile on the wall.
1005291	2000105	The baked eggs are excellent and the coffee really is among the best in NY. It's got a great vibe, if a bit precious
1017730	2000105	Mozz sandwich, avocado toast and hot chocolate. Visit Erica & Nick
1054073	2000105	Get the avocado toast and the hearts of palm salad.
1027775	2000114	Extremely considered daily menu with unusual ingredients\/combos. come with friends and share a lot of dishes!
1176753	2000114	A bottle of wine, I got the duck breast and my date got the mackerel and the wine was the best part of the meal. Not impressed and way over priced!
1000058	2000114	Did you have the deep fried sardine skeletons from Isa? Did you eat it?
1047769	2000114	Good food, not worth the $50 prefixe price
1124076	2000115	I like to end most nights on the town here with a Skinny Margarita and late night Fatty Fajita.
1008388	2000123	Great seafood
1029366	2000123	Pear dessert was quite possibly best pear flavor I have ever had.
1049805	2000123	Spend a warm Sunday afternoon outdoors on the patio with their scrumptious Crab Cake Benedict and complimentary bellini!
1091774	2000123	Having a leisurely prix-fixe lunch with Kate from  the set of Georgetown. Loving the artichoke tomato bisque.
1026044	2000123	Absolutely wonderful atmosphere, next I'm in NYC I will return.
1091045	2000133	Far none one of the best chicken joints in the city. Great that they added a salad to my meal which was a surprise! Got crowded at times though, so off-peak hours is the best times.
1027682	2000133	awesome fast cheap
1082113	2000133	Finger lickin good!!!
1016049	2000133	Seriously good chicken.
1027297	2000133	Give the aroz con pollo a try.
1000072	2000138	Check out 'inoteca. a lot of ppl have been talking about it (most recently Nate who suggested it as a date spot). why have I not been? or have I?
1001042	2000138	Have a wine outside on a sunny day
1030502	2000138	The speck panini is a little spicy, but so good. Also try the bruschetta with the cheese spread and apricot. Delicious!
1058953	2000138	Always good I love this place.
1181940	2000138	Pre 6 o'clock happy hour gets you a featured glass of white or red (the white today was a falanghina)) and a bruschetta for $6. A nice afternoon treat.
1238035	2000138	Amazing! Try the romaine radicchio insalata, speck and fontina panini, and the gamberoni. Perfect for two and so damn delicious!!!!!
1213188	2000140	It is hard to mess up an omelette but wouldn't try anything else.
1000953	2000140	Great Burger and fries
1041955	2000140	Get the Don Pedro for breakfast.
1016255	2000140	Great or breakfast meetings
1022719	2000141	Try the corn ice cream w\/ cinnamon on top - it's delicious! =)
1017239	2000141	Umit Benan, famed Turkish Designer, recommends their ice cream.
1015495	2000141	Corn with cinnamon!
1242708	2000142	Always good - always plenty.  This place may be touristy but the locals love it too because it's awesome.  Don't forget - cash only.
1256434	2000142	Had much better pastrami. Was dry. Harold's in NJ much better.
1027297	2000142	Rude waiters add to the authentic NYC vibe. Don't be afraid of the sandwich sizes... just dig in.
1138131	2000142	The pastrami, corned beef, and beef tongue are all delicious (get them hot!)!
1207922	2000142	Overpriced, overrated. But because it's so famous it may be with going to once in your life just to see what it's like and be stunned by the MOUNTAIN of food they pile on your plate.
1044647	2000148	Ocean and land app with bone marrow is amazing!
1007599	2000148	Excellent wine list. And the \
1196154	2000148	Emily Wallendjack is the pastry chef, completely gifted and passionate about cooking.  Definitely worth a visit!
1082569	2000154	Village Voice is excited to have Mama's Food Shop at the 2012 ChoiceEats food fest!  Full list of restaurants here: http:\/\/ow.ly\/8QjDQ
1059612	2000154	No frills, just awesome soul food. Collard greens were alright, fried chicken and mac n cheese were stellar. Definitely coming back when I need my fix. Cash only. (3 of 4 petals via Fondu)
1000334	2000155	Try the Scallops - Yum (via @Foodspotting)
1025094	2000155	Good sushi and other Japanese fare near NYU. Sit in back. (3 of 4 petals via Fondu)
1265196	2000155	The yellowtail melts in your mouth. It's amazing. The chefs aren't super personable and sitting at the bar is like sitting at a table on the other side of the room.
1205591	2000161	Good drinks but the Outside service sucked.
1026583	2000161	I dunno why... but when the weather always starts to turn nice, this is the place I first run to! Large frozen margarita menu. About 5 blocks from the PATH.
1261897	2000161	I come for the Mango Margaritas!
1037934	2000161	Ok this place sucks !! The salsa taste like canned tomato paste the guacamole taste so bland like avocado and salt. The margaritas were 14 dollars and they were the most regular margaritas Ever 1star
1011206	2000164	Go to Chelsea Brewing Company and try the beer sampler!
1211609	2000164	roducing quality micro brew for over 16 years the Chelsea Brewing Company has become a staple of the Chelsea Piers sports and recreation complex.,,,,,,,check out what each of us thought about the beer
1080608	2000164	free tours(&beer!) every hour on Saturday's 2-6p.
1093034	2000164	Bring Cash.
1000616	2000167	Porchetta sandwich for lunch = pretty good choice!
1055222	2000167	beef carpaccio, polipo, and a glass of barolo. fancy mouth times.
1063386	2000167	Wine cellar is one of my fav rooms in the city! Everything is great, but my fav is the panna cotta!
1027297	2000172	The hush puppies will weigh you down all night, but they are oh so worth it.
1027297	2000172	A bit expensive, but it's hard to resist the hush puppies.
1024953	2000172	Get the hushpuppies and honey butter!
1097287	2000172	You must have The Fall Off The Porch!!!!
1030260	2000172	Even thought it's a Barbeque place, skip the beef and try the fish, it's fantastic!!
1031304	2000172	No cans here but 5.50 lagunitas bottles - gocraftcans.com
1178822	2000172	Prepare for the meat sweats
1040858	2000172	I'm having... Chest pains...
1148897	2000177	Great place. But long wait, even w\/ a reservation!!
1050152	2000177	My fav brunch meal is always the Mexican matzo brie
1038456	2000177	Whether you made a reservation or not - you wait.
1028925	2000177	$20 brunch includes 3 bloody marys, mimosas, and screwdriver. Can't go wrong with that. Cure that hangover with more alcohol. Haha
1199925	2000180	Delicious margaritas bc diablo looked like a frat party!!!
1047991	2000186	Good place with the Kids.
1082569	2000189	Village Voice is excited to have Doughnut Plant at the 2012 ChoiceEats food fest!  Full list of restaurants here: http:\/\/ow.ly\/8QjDQ
1024230	2000189	Creme Burlee, surprisingly small but packs quite a taste.
1030718	2000189	Just remember: They're closed on Mondays.
1049206	2000189	the coconut, creme brÃ»lÃ©e and carrot cake are amazing. lavendar is strange but good. thru were sold out of the churro, which is supposedly amazing.
1091774	2000189	the tres leches donut is classic and a MUST!
1030484	2000189	Opt for the seasonal doughnuts and their amazing iced coffee. You won't be disappointed.
1030476	2000189	Best doughnuts ever!! And coffee and service!!
1049206	2000189	eat the doughnuts? Yea!!
1000312	2000190	Hummus, baba, zatter bread, foul, lebne - all of it is fantastic. So delicious.
1000713	2000192	Pabst Blue Ribbon!
1000312	2000192	eat pickle chips
1022360	2000192	Tasty mac & cheese, but what happened to the pigs in a blanket???
1015088	2000199	The Pete's are amazing and the ebelskivers will blow your mind.
1065107	2000199	Get the 'Castles': Eggs, cheese and green chiles on slider buns.
1040642	2000199	The menu is endless and nothing I've had here has disappointed me so far. From the chicken cutlet sandwich, to the lamb in chili to the waffles. Delicious! Just don't get caught taking photos.
1183505	2000199	Get a full order of Mac n cheese pancakes and a half order of s'mores pancakes. Enjoy with a friend.
1011947	2000199	Prepare to wait in line, and gain 10 pounds...
1062127	2000199	Try the: everything
1032640	2000199	Santana Pete could be the best sandwich I've ever had. 3 eggs turn it into a stunning brunch. Order it.
1123414	2000199	You're going to get kicked out, put your phone down!
1001267	2000200	Crayons provided for your paper-tablecloth covering pleasure.  Too fun.
1029831	2000200	CRAYONS!!!!
1038058	2000200	Best wings in Tribeca!
1082569	2000204	Winner of Best Use of Habanero in the Village Voice 2011 Best Of issue! The habanero grapefruit marg will make you forget you're drinking tequila.
1067297	2000204	Best enchiladas de mole in En Why See! Also Tamarind Margaritas and mezcal micheladas!
1000542	2000204	habeÃ±ero-infused grapefruit margarita is hot. I dare u to find out how good it is
1002448	2000204	Coolest bar on the LES. Get a michaelada and fish or pork tacos.
1067297	2000204	SP?NGLISH (ñ) favorite drink is the \
1006243	2000204	Habanero Grapefruit Margarita is my favorite drink in the city.  Drink 3 of them and you'll get weird.
1017435	2000204	u need a lil hot & snappy? check this out: habanero-infused grapefruit margarita to start then hit up the tacos - al pastor, pescado.. finish it off with any of the entrees.
1006243	2000204	The Micheladas are excellent.
1058953	2000204	Bests Margarita's in the lower
1211609	2000204	Loved this place! Young and fun\u2026 the perfect final destination for late night eats after a night out perusing the plethora of nearby watering holes. Check what else we said and our review.
1204517	2000204	Order tacos and a grapefruit margarita. Done.
1152611	2000204	Im a taco fan, these were awesome. The Habanero margaritas were popular with others, if you have the buds for it, go for it. Me, I cant even look at them without reaching for water. Too hot
1014175	2000205	winterbock, wammerl (pork belly), and emüseauflauf (veg gratin). my tummy is very, very happy.
1022799	2000205	Definitely order anything on draft.  Recommend the schweinebraten, almost like a pork-ish prime rib!
1029949	2000205	One of the most authentic german beer halls in manhattan. Thrown on some lederhosen, sit outside and order a liter and a pretzel.
1014175	2000205	spaten optimator, obatzda, radi, wammerle, haxn. have i forgotten anything?
1033560	2000205	Have a beer.
1000009	2000205	Beware: Cash only. But the Radi, Bretzel and Obatzda are fantastic. And btw, I am German!!!
1066227	2000205	Calmer in the winter.
1000570	2000205	Look out for the football team on Thursday nites and be sure to sing the Zum Schneider songs with them.
1154106	2000209	Jack is the MAN!
1052962	2000209	Amazing sushi is the best!
1024436	2000209	Get the superman roll.  Tuna avocado sala is also great.
1000429	2000209	Some of the best tempura I've had in the East Village.
1000429	2000209	If the Duck Tataki is on the specials menu, you must get it.
1085787	2000210	Great, quick and cheap Italian option in soho.
1011466	2000210	I wonder if this is a common problem...
1029831	2000210	Some of the best Italian dishes in lower manhattan for a great price! Good for lunch and dinner
1015100	2000210	Lunch special of lentil soup and prosciuto sandwich is unreal
1029831	2000210	Try the Pasta and spot it on Foodspotting!
1000072	2000212	always, always sit downstairs. preferably at the back corner of the bar where you can have a good view of the entire room. the upstairs is for those that do not know what they are doing.
1000072	2000212	get the octopus, yeah. one of my absolute favs. but don't leave without also getting the suckling pig. some parts soft, some parts crispy, every part made for you
1000072	2000212	get the margarita pizza. sometimes, it's exactly what you need
1078275	2000212	Homemade pappardelle pasta with veal is where it's at.
1196154	2000212	popular amongst the chef crowd after work.  rustic, hearty, and fulfilling.  Definitely sit downstairs if you can.
1024772	2000217	One if the best happy hours in SoHo for drinks & small plates. The Go Chu Ti Kim and Ke Sal Mari are to die for @ $5\/plate.  Beware, there are only 2 pieces per plate and you will definitely want more
1105569	2000222	For brunch, the eggs alla bolognese is amazing. The coffee, not so much.
1120838	2000222	Eat whatever is on the special menu- can't go wrong!  Pumpkin ravioli was delicious
1014464	2000222	the softest desert you'll ever taste, you must try Pannacotta, eggless cream flan with mix berries. More tips & pics @ nomnomboris.com
1014464	2000222	It's perfect seafood pasta Tagliolini Fati with shrimp, clams, mussels, scallops & calamari. More tips & pics @ nomnomboris.com
1014464	2000222	you can never go wrong with some nomnom Bruschetta. More tips & pics @ nomnomboris.com
1014464	2000222	wow this is a great appetizer, you must try Calamari alla Griglia. More tips & pics @ nomnomboris.com
1089570	2000222	Sunday night jazz band is great and you can't beat the $5 glasses of house wine
1025094	2000224	Surprisingly good sushi and (at least at lunch time) great prices and portions as well. (3 of 4 petals via Fondu)
1024915	2000224	good shumai..twin tuna roll
1082569	2000239	Winner of Best Brewpub in the Village Voice 2011 Best Of issue! They take limited city space and make an impressive array of craft brews.
1038448	2000239	Overprice and mediocre beers and bland food.
1257034	2000239	Beer combinations are pretty good
1034460	2000239	Beer. Fries. Pomegranate margaritas. (3 of 4 petals via Fondu)
1066854	2000239	The not tonight honey porter is a great dark beer.
1015912	2000239	The artichoke spinach dip has no artichoke to be found, don't let it mislead you.
1011947	2000239	Don't have the calamari... It's disgusting!
1000068	2000239	Oktoberfest thumbs up.
1118710	2000239	Try the French toast ale if it's in season. If not, the Indiana Pale Ale is usually the way yo go.
1005009	2000243	The beans & rice combo with the special typically will fill you up for weeks.
1053759	2000243	Rice and Chorizo is a good addition to any empanada here.
1025041	2000254	They're known for the excellent gnocchi. The owner Silvano Marchetto is always around and may help you make your selection.
1018799	2000254	Lobster gnocchi is unreal. Seriously life changing
1127261	2000254	It's a good restaurant
1013128	2000255	Bar Six lemonade.. YES! But, beware- it's large
1044236	2000255	On a sunny Sunday at noon consider this place for brunch. The menu is always great. Day or night. This is a neighborhood fixture. Sit in the sun-filled back under the skylight.
1017620	2000255	One bathroom smells like an orange creamsicle, the other does not. WHICH WILL YOU CHOOSE?
1013095	2000255	The bisteeya is the clear winner here. Flaky Moroccan meat pie
1024436	2000262	super cute and inviting during the day. i recommend eggs florentine with crispy bacon on the side for brunch.
1000616	2000262	One of my top 2 go-to spots for dinner in the East Village (the other being Casmir).  I always go for:  strip steak medium rare, béarnaise sauce, fries, escargot, cabernet.  (ps: decent brunch too)
1011466	2000262	Forget the hour+ long wait at Clinton St. Bakery. $10.95 for brunch here includes coffee & OJ AND you're not surrounded by the Yelp crowd
1008756	2000262	The merguez couscous is great, love this spot.
1000072	2000263	Remember to go check out Ceci-Cela at 55 Spring St (btw Lafayette and Mulberry) in New York. (ps: added from my iPhone!)
1000072	2000263	the hidden back room (it took me three years to realize it was there!) is great for quick lunches or mid-day meetings over tea
1000072	2000271	sit by the front (open) windows in summer -- there are so many great places in the area that it's great for people watching
1080104	2000271	Love @ first sight!
1082569	2000278	We love the Vegetarian Platter \u2013 3 dishes with tahini dressed salad is the perfect lunch time treat.
1057576	2000278	This guy brought Falafels to the USA. not only the best and cheapest, but it's just magical. Try a Falafel with hummus sandwich for $3 then I'll take thank you notes ;-p
1002637	2000278	Mamoun's is the best place to have a falafel or shawerma. Om nom nom nom.
1005009	2000278	Ridiculously cheap falafel for the quality. Drop by if you're in the neighborhood and looking for a cheap, tasty, and relatively filling snack.
1023264	2000278	Get the Falafel Pita and the Shawarma Pita = $7.50 - some of the best food\/late-night food\/street food in planet America
1031304	2000278	Solid. Hot sauce is real hot though - casual warning
1024915	2000278	obv the falafel but the chicken is also delish!
1009039	2000278	Get the falafel...duh! The chicken kabob is pretty good too btw.
1231935	2000278	2.50 falafel in 30 seconds. Great food for late nights or quick lunches.
1185945	2000284	Great!!! Best hot dog in the world!!! Cheap, quick and excellent!!! Must see and check point in New York if you are a hot dog fan as myself ;)
1047178	2000284	Best late-night-post-bar food ever.
1087196	2000284	Hotdogs are amazing. Leave the hotdog carts alone
1202050	2000284	Recession Special isn't bad at all. Two hot dogs and a drink for $4.45(tax included)
1000072	2000291	Mario Batali's first restaurant
1086693	2000291	Monday-Tuesday complimentary wine with your meal!
1208163	2000291	Nicole is the best waitress in NYC... ask her recommendations and pairing suggestions for both food and wine.
1002720	2000307	Cheap & cheerful. Excellent Italian comfort food.
1000462	2000308	Great steaks and hang out bar.
1219604	2000308	Don't bother with the bar.
1105569	2000308	Service was pleasant but slow. Steak was delicious.
1006243	2000308	I loved the New York, Steak & Tuna Tartare.
1257034	2000309	A scoop can consist of two flavors you want -- and still the same price
1135005	2000309	Try the taro flavor, it's a refreshing way to end a meal. Super delicious.
1163242	2000309	Black sesame + green tea ice cream. Nom nom nom.
1107013	2000309	zen butter - best ice cream you'll ever have
1010565	2000309	Red bean ice cream is great- don't let the \
1013259	2000313	Try the yummy tomato eggplant soup. (it's vegetarian!)
1090033	2000313	Try the macaroons! A tasty treat to top off your meal.
1082569	2000315	Elegant evocations of regional Mexican fare, from the legendary mole known as manchamanteles (\
1028357	2000315	order lots of guacamole and appetizer, entrees are so so
1043410	2000315	Sit at the bar, chat it up with the bartender and you'll get the best margaritas on the rocks...plus you have get some guacamole!
1047178	2000316	A bit expensive and touristy, but the food is always yummy. Try the double pan fried noodles!
1023677	2000316	TRY THE MOJITO'S.
1047991	2000316	Dragon Roll is the shit! Anything with Eel  is good.
1201938	2000317	pulled pork sandwich is the bizness!!!
1000072	2000318	pho suon nuong (combination rice noodles soup with grilled pork chop): much needed for those cold, cold lazy Sunday lunches (5 degrees out!)
1193062	2000318	best Pho I've had in NYC yet
1000072	2000318	have read about this place twice today (once from jexe). need to try more such places in my hood
1105569	2000318	I ate the whole plate. The whole plate. #12 beef + noodle + broth.
1107013	2000318	The food is delicious. Overall experience could be better, not a fan of the top 40 radio & commercials, but highly recommend if in the area & looking for a great, cheap bite.
1000072	2000328	that one day you're feeling especially fat, come here and get your choice of burger and\/or philly cheesesteak and\/or hot dog (and is better)
1008466	2000328	I like to get a turkey burger on an English muffin.
1132611	2000328	The Best! And i mean the Best Burgers in NYC period!
1047683	2000328	One of my favorite burger places. Opt for the classic along with gravy cheese fries.
1014912	2000328	I got the Soul Burger--a bacon cheeseburger with ham and fried onions. Loved it.
1014912	2000328	The Eastsider is their specialty, and it's pretty darn good: bacon, ham, mushrooms, tomatoes, and fried onions.
1041557	2000328	Sweet potato fries with mayo, bacon cheddar burger and an Ice Cold Stella!
1010565	2000328	Bacon cheeseburger is big, and delicious.  Sweet potato fries!
1048682	2000328	Not that great, tastes like meatloaf
1024436	2000332	really fantastic choices for brunch! try something you normally wouldn't.
1001509	2000332	have the poached eggs & salmon over potato cake. Yum!
1034450	2000332	Seriously wonderful EV staple. Get the Schnitzel or the Hanger Steak (the price is a steal!)
1003125	2000332	Not 24 \/7 anymore!  Kitchen closes at like 1 or 2 on weekend nights
1064130	2000332	americano, eggwhite omelette with spinach, tomato, and feta, wheat toast, well-done homefries. curative for most hangovers.
1001509	2000332	Rarely ever a wait, breakfast till 4 everyday including remarkably yummy oatmeal & free WiFi. Also, open 24-7, hooray.
1001090	2000332	Best brunch in the EV. Outdoor seating when it's warm out!
1030502	2000332	The steak and eggs is terrific!
1028806	2000332	Great brunch spot. Sit outside, nurse a cup of coffee (and\/or a hangover) and order the smoked salmon and cream cheese omelette. Delicious.
1000953	2000332	Best steak (and eggs) brunch in the area, weekdays too.
1022141	2000332	The smoked salmon with eggs, potatoes, and hollandaise sauce is amazing. So is the brioche French toast. Best brunch I've had in NYC!
1051375	2000332	Try the pomegranate sparkle! It's very delicious.
1193062	2000332	The pumpkin pancakes with cinnamon yogurt were scrumptious, great poached eggs florentine there as well.
1132546	2000332	They are open late. And down my street. Yay :)
1049206	2000332	pumpkin pancakes were great. the side of sausage is verry good. omlettes are good too. the feta and olive especially.
1028925	2000337	Peking pork chop and salt and pepper squid. The end.
1105313	2000337	AMAZING, worth every $ (and it's redic cheap!). Huge portions. I love the crunchy noodles with duck sauce, pan fried noodles w\/ chicken, honey crispy chicken, & broad noodles! But everything is great!
1030792	2000337	Amazing pineapple duck! The food comes out within minutes of ordering (kinda creepy). This place is 24 hours and so far the food has always been excellent. And they give you free tea too!
1059479	2000337	Beers after 4am? Go downstairs. The egg drop soup is gray.
1060041	2000337	Late night Beef Chow Fun, Szechuan Shrimp, & Broccoli w\/ Garlic Sauce --- best Chinese food in the city, do not be fooled by imitators, go downstairs
1011947	2000339	Try the Fish Tacos... pretty amazing!
1001319	2000349	If you come here late enough, you might see a supermodel with just a little bit of cocaine under her nose. Also the doner kebab is delicious
1021380	2000349	I don't want to proclaim this spot as the best Turkish food, I definitely proclaim it the best Donna Kebab spot and Turkist desert, soooooo good. After a long night on LES and you're starving, this hi
1072909	2000349	Stuffed Grape leaves and Lentil Soup, yummiest!
1050152	2000349	Get the lentil soup!!
1049206	2000349	Get the Doner kebab. It's amazing.
1057981	2000349	try the simple lentil soup, lahmajun, shepherds salad... and camilica, a real turkish soda
1026060	2000355	One of the best brunch specials in NYC
1048143	2000355	Try the El Vocho!
1026060	2000355	One of the best brunch spots in NYC.
1216812	2000355	Their white sangria is amazing. Order the Pescado A La Talla \u201cZihuatanejo\u201d ... catfish, saffron rice, green beans (my favorite part, I don't know how they cook them!).
1064130	2000355	fantastic back garden room that seats 20+ for private parties
1027297	2000356	Amazing sweet potato fries & maple dipping sauce.
1042406	2000358	Great happy hour: 2-4-1 until 8pm and great cocktail list!!!
1033560	2000359	the staff is super rude but the pastries are pretty good.
1063432	2000360	Awesome cupcakes
1011075	2000360	the cupcakes are great, but I luv the pumpkin whoopie pie, sugar cookies & icebox cake. yum!
1017239	2000360	Umit Benan, famed Turkish Designer: \
1062266	2000360	Only when something to celebrate, avoid during Weekends, super busy. Take the carrot cupe cake, your day will be all good!
1011372	2000360	The cupcakes taste like a stick of butter. Get the bread pudding or coconut cake with a cup of coffee.
1037391	2000360	Let's hit up Magnolia and mack on some cupcakes.
1016769	2000360	It's all about the banana pudding. Go ahead and get a large. Thank me later.
1000134	2000360	Eat here.  Diet at home.  Enough said.
1025094	2000362	Great steak and all the fixins. Lively atmosphere but seems a bit formulaic (as if it were a chain). (3 of 4 petals via Fondu)
1151828	2000362	If you don't mind the lousy service where the server is missing 99% of the night and don't mind waiting 30 mins to get your order taken then this is the place for you! :-)
1165056	2000362	I agree with Jason V.
1074287	2000364	Great food and service...come here every Sat after the gym
1027297	2000370	The veal parm is pretty darn good.
1000104	2000371	The sign might say \
1020964	2000371	For those nights when you want to sample a rnage of sakes and hideaway.
1009962	2000371	Try the pink milky thick rich Beni Kanbai Nigori Sake. U might really like it.
1018652	2000377	Great brunch on sundays!
1020186	2000381	I ounce ate about a thousand oysters
1190590	2000382	IMHO best bagel in NYC. Everything bagel is beyond words.
