userid	venue_id	tips
u258663	v102	Everything I've tried here is great! It reminds me of a \
u25807	v105	Try the Baked Eggs w\/ Tomato and Basil - Get the Merguez sausage! (via @Foodspotting)
u116117	v105	Try the orange waffle with fruits and maple syrup for BF. The focaccia with mozzarella, tomatoes and olives tapenade is also great.
u11282	v105	There's a crocodile on the wall.
u5291	v105	The baked eggs are excellent and the coffee really is among the best in NY. It's got a great vibe, if a bit precious
u17730	v105	Mozz sandwich, avocado toast and hot chocolate. Visit Erica & Nick
u54073	v105	Get the avocado toast and the hearts of palm salad.
u27775	v114	Extremely considered daily menu with unusual ingredients\/combos. come with friends and share a lot of dishes!
u176753	v114	A bottle of wine, I got the duck breast and my date got the mackerel and the wine was the best part of the meal. Not impressed and way over priced!
u58	v114	Did you have the deep fried sardine skeletons from Isa? Did you eat it?
u47769	v114	Good food, not worth the $50 prefixe price
u124076	v115	I like to end most nights on the town here with a Skinny Margarita and late night Fatty Fajita.
u8388	v123	Great seafood
u29366	v123	Pear dessert was quite possibly best pear flavor I have ever had.
u49805	v123	Spend a warm Sunday afternoon outdoors on the patio with their scrumptious Crab Cake Benedict and complimentary bellini!
u91774	v123	Having a leisurely prix-fixe lunch with Kate from  the set of Georgetown. Loving the artichoke tomato bisque.
u26044	v123	Absolutely wonderful atmosphere, next I'm in NYC I will return.
u91045	v133	Far none one of the best chicken joints in the city. Great that they added a salad to my meal which was a surprise! Got crowded at times though, so off-peak hours is the best times.
u27682	v133	awesome fast cheap
u82113	v133	Finger lickin good!!!
u16049	v133	Seriously good chicken.
u27297	v133	Give the aroz con pollo a try.
u72	v138	Check out 'inoteca. a lot of ppl have been talking about it (most recently Nate who suggested it as a date spot). why have I not been? or have I?
u1042	v138	Have a wine outside on a sunny day
u30502	v138	The speck panini is a little spicy, but so good. Also try the bruschetta with the cheese spread and apricot. Delicious!
u58953	v138	Always good I love this place.
u181940	v138	Pre 6 o'clock happy hour gets you a featured glass of white or red (the white today was a falanghina)) and a bruschetta for $6. A nice afternoon treat.
u238035	v138	Amazing! Try the romaine radicchio insalata, speck and fontina panini, and the gamberoni. Perfect for two and so damn delicious!!!!!
u213188	v140	It is hard to mess up an omelette but wouldn't try anything else.
u953	v140	Great Burger and fries
u41955	v140	Get the Don Pedro for breakfast.
u16255	v140	Great or breakfast meetings
u22719	v141	Try the corn ice cream w\/ cinnamon on top - it's delicious! =)
u17239	v141	Umit Benan, famed Turkish Designer, recommends their ice cream.
u15495	v141	Corn with cinnamon!
u242708	v142	Always good - always plenty.  This place may be touristy but the locals love it too because it's awesome.  Don't forget - cash only.
u256434	v142	Had much better pastrami. Was dry. Harold's in NJ much better.
u27297	v142	Rude waiters add to the authentic NYC vibe. Don't be afraid of the sandwich sizes... just dig in.
u138131	v142	The pastrami, corned beef, and beef tongue are all delicious (get them hot!)!
u207922	v142	Overpriced, overrated. But because it's so famous it may be with going to once in your life just to see what it's like and be stunned by the MOUNTAIN of food they pile on your plate.
u44647	v148	Ocean and land app with bone marrow is amazing!
u7599	v148	Excellent wine list. And the \
u196154	v148	Emily Wallendjack is the pastry chef, completely gifted and passionate about cooking.  Definitely worth a visit!
u82569	v154	Village Voice is excited to have Mama's Food Shop at the 2012 ChoiceEats food fest!  Full list of restaurants here: http:\/\/ow.ly\/8QjDQ
u59612	v154	No frills, just awesome soul food. Collard greens were alright, fried chicken and mac n cheese were stellar. Definitely coming back when I need my fix. Cash only. (3 of 4 petals via Fondu)
u334	v155	Try the Scallops - Yum (via @Foodspotting)
u25094	v155	Good sushi and other Japanese fare near NYU. Sit in back. (3 of 4 petals via Fondu)
u265196	v155	The yellowtail melts in your mouth. It's amazing. The chefs aren't super personable and sitting at the bar is like sitting at a table on the other side of the room.
u205591	v161	Good drinks but the Outside service sucked.
u26583	v161	I dunno why... but when the weather always starts to turn nice, this is the place I first run to! Large frozen margarita menu. About 5 blocks from the PATH.
u261897	v161	I come for the Mango Margaritas!
u37934	v161	Ok this place sucks !! The salsa taste like canned tomato paste the guacamole taste so bland like avocado and salt. The margaritas were 14 dollars and they were the most regular margaritas Ever 1star
u11206	v164	Go to Chelsea Brewing Company and try the beer sampler!
u211609	v164	roducing quality micro brew for over 16 years the Chelsea Brewing Company has become a staple of the Chelsea Piers sports and recreation complex.,,,,,,,check out what each of us thought about the beer
u80608	v164	free tours(&beer!) every hour on Saturday's 2-6p.
u93034	v164	Bring Cash.
u616	v167	Porchetta sandwich for lunch = pretty good choice!
u55222	v167	beef carpaccio, polipo, and a glass of barolo. fancy mouth times.
u63386	v167	Wine cellar is one of my fav rooms in the city! Everything is great, but my fav is the panna cotta!
u27297	v172	The hush puppies will weigh you down all night, but they are oh so worth it.
u27297	v172	A bit expensive, but it's hard to resist the hush puppies.
u24953	v172	Get the hushpuppies and honey butter!
u97287	v172	You must have The Fall Off The Porch!!!!
u30260	v172	Even thought it's a Barbeque place, skip the beef and try the fish, it's fantastic!!
u31304	v172	No cans here but 5.50 lagunitas bottles - gocraftcans.com
u178822	v172	Prepare for the meat sweats
u40858	v172	I'm having... Chest pains...
u148897	v177	Great place. But long wait, even w\/ a reservation!!
u50152	v177	My fav brunch meal is always the Mexican matzo brie
u38456	v177	Whether you made a reservation or not - you wait.
u28925	v177	$20 brunch includes 3 bloody marys, mimosas, and screwdriver. Can't go wrong with that. Cure that hangover with more alcohol. Haha
u199925	v180	Delicious margaritas bc diablo looked like a frat party!!!
u47991	v186	Good place with the Kids.
u82569	v189	Village Voice is excited to have Doughnut Plant at the 2012 ChoiceEats food fest!  Full list of restaurants here: http:\/\/ow.ly\/8QjDQ
u24230	v189	Creme Burlee, surprisingly small but packs quite a taste.
u30718	v189	Just remember: They're closed on Mondays.
u49206	v189	the coconut, creme brÃ»lÃ©e and carrot cake are amazing. lavendar is strange but good. thru were sold out of the churro, which is supposedly amazing.
u91774	v189	the tres leches donut is classic and a MUST!
u30484	v189	Opt for the seasonal doughnuts and their amazing iced coffee. You won't be disappointed.
u30476	v189	Best doughnuts ever!! And coffee and service!!
u49206	v189	eat the doughnuts? Yea!!
u312	v190	Hummus, baba, zatter bread, foul, lebne - all of it is fantastic. So delicious.
u713	v192	Pabst Blue Ribbon!
u312	v192	eat pickle chips
u22360	v192	Tasty mac & cheese, but what happened to the pigs in a blanket???
u15088	v199	The Pete's are amazing and the ebelskivers will blow your mind.
u65107	v199	Get the 'Castles': Eggs, cheese and green chiles on slider buns.
u40642	v199	The menu is endless and nothing I've had here has disappointed me so far. From the chicken cutlet sandwich, to the lamb in chili to the waffles. Delicious! Just don't get caught taking photos.
u183505	v199	Get a full order of Mac n cheese pancakes and a half order of s'mores pancakes. Enjoy with a friend.
u11947	v199	Prepare to wait in line, and gain 10 pounds...
u62127	v199	Try the: everything
u32640	v199	Santana Pete could be the best sandwich I've ever had. 3 eggs turn it into a stunning brunch. Order it.
u123414	v199	You're going to get kicked out, put your phone down!
u1267	v200	Crayons provided for your paper-tablecloth covering pleasure.  Too fun.
u29831	v200	CRAYONS!!!!
u38058	v200	Best wings in Tribeca!
u82569	v204	Winner of Best Use of Habanero in the Village Voice 2011 Best Of issue! The habanero grapefruit marg will make you forget you're drinking tequila.
u67297	v204	Best enchiladas de mole in En Why See! Also Tamarind Margaritas and mezcal micheladas!
u542	v204	habeÃ±ero-infused grapefruit margarita is hot. I dare u to find out how good it is
u2448	v204	Coolest bar on the LES. Get a michaelada and fish or pork tacos.
u67297	v204	SP?NGLISH (ñ) favorite drink is the \
u6243	v204	Habanero Grapefruit Margarita is my favorite drink in the city.  Drink 3 of them and you'll get weird.
u17435	v204	u need a lil hot & snappy? check this out: habanero-infused grapefruit margarita to start then hit up the tacos - al pastor, pescado.. finish it off with any of the entrees.
u6243	v204	The Micheladas are excellent.
u58953	v204	Bests Margarita's in the lower
u211609	v204	Loved this place! Young and fun\u2026 the perfect final destination for late night eats after a night out perusing the plethora of nearby watering holes. Check what else we said and our review.
u204517	v204	Order tacos and a grapefruit margarita. Done.
u152611	v204	Im a taco fan, these were awesome. The Habanero margaritas were popular with others, if you have the buds for it, go for it. Me, I cant even look at them without reaching for water. Too hot
u14175	v205	winterbock, wammerl (pork belly), and emüseauflauf (veg gratin). my tummy is very, very happy.
u22799	v205	Definitely order anything on draft.  Recommend the schweinebraten, almost like a pork-ish prime rib!
u29949	v205	One of the most authentic german beer halls in manhattan. Thrown on some lederhosen, sit outside and order a liter and a pretzel.
u14175	v205	spaten optimator, obatzda, radi, wammerle, haxn. have i forgotten anything?
u33560	v205	Have a beer.
u9	v205	Beware: Cash only. But the Radi, Bretzel and Obatzda are fantastic. And btw, I am German!!!
u66227	v205	Calmer in the winter.
u570	v205	Look out for the football team on Thursday nites and be sure to sing the Zum Schneider songs with them.
u154106	v209	Jack is the MAN!
u52962	v209	Amazing sushi is the best!
u24436	v209	Get the superman roll.  Tuna avocado sala is also great.
u429	v209	Some of the best tempura I've had in the East Village.
u429	v209	If the Duck Tataki is on the specials menu, you must get it.
u85787	v210	Great, quick and cheap Italian option in soho.
u11466	v210	I wonder if this is a common problem...
u29831	v210	Some of the best Italian dishes in lower manhattan for a great price! Good for lunch and dinner
u15100	v210	Lunch special of lentil soup and prosciuto sandwich is unreal
u29831	v210	Try the Pasta and spot it on Foodspotting!
u72	v212	always, always sit downstairs. preferably at the back corner of the bar where you can have a good view of the entire room. the upstairs is for those that do not know what they are doing.
u72	v212	get the octopus, yeah. one of my absolute favs. but don't leave without also getting the suckling pig. some parts soft, some parts crispy, every part made for you
u72	v212	get the margarita pizza. sometimes, it's exactly what you need
u78275	v212	Homemade pappardelle pasta with veal is where it's at.
u196154	v212	popular amongst the chef crowd after work.  rustic, hearty, and fulfilling.  Definitely sit downstairs if you can.
u24772	v217	One if the best happy hours in SoHo for drinks & small plates. The Go Chu Ti Kim and Ke Sal Mari are to die for @ $5\/plate.  Beware, there are only 2 pieces per plate and you will definitely want more
u105569	v222	For brunch, the eggs alla bolognese is amazing. The coffee, not so much.
u120838	v222	Eat whatever is on the special menu- can't go wrong!  Pumpkin ravioli was delicious
u14464	v222	the softest desert you'll ever taste, you must try Pannacotta, eggless cream flan with mix berries. More tips & pics @ nomnomboris.com
u14464	v222	It's perfect seafood pasta Tagliolini Fati with shrimp, clams, mussels, scallops & calamari. More tips & pics @ nomnomboris.com
u14464	v222	you can never go wrong with some nomnom Bruschetta. More tips & pics @ nomnomboris.com
u14464	v222	wow this is a great appetizer, you must try Calamari alla Griglia. More tips & pics @ nomnomboris.com
u89570	v222	Sunday night jazz band is great and you can't beat the $5 glasses of house wine
u25094	v224	Surprisingly good sushi and (at least at lunch time) great prices and portions as well. (3 of 4 petals via Fondu)
u24915	v224	good shumai..twin tuna roll
u82569	v239	Winner of Best Brewpub in the Village Voice 2011 Best Of issue! They take limited city space and make an impressive array of craft brews.
u38448	v239	Overprice and mediocre beers and bland food.
u257034	v239	Beer combinations are pretty good
u34460	v239	Beer. Fries. Pomegranate margaritas. (3 of 4 petals via Fondu)
u66854	v239	The not tonight honey porter is a great dark beer.
u15912	v239	The artichoke spinach dip has no artichoke to be found, don't let it mislead you.
u11947	v239	Don't have the calamari... It's disgusting!
u68	v239	Oktoberfest thumbs up.
u118710	v239	Try the French toast ale if it's in season. If not, the Indiana Pale Ale is usually the way yo go.
u5009	v243	The beans & rice combo with the special typically will fill you up for weeks.
u53759	v243	Rice and Chorizo is a good addition to any empanada here.
u25041	v254	They're known for the excellent gnocchi. The owner Silvano Marchetto is always around and may help you make your selection.
u18799	v254	Lobster gnocchi is unreal. Seriously life changing
u127261	v254	It's a good restaurant
u13128	v255	Bar Six lemonade.. YES! But, beware- it's large
u44236	v255	On a sunny Sunday at noon consider this place for brunch. The menu is always great. Day or night. This is a neighborhood fixture. Sit in the sun-filled back under the skylight.
u17620	v255	One bathroom smells like an orange creamsicle, the other does not. WHICH WILL YOU CHOOSE?
u13095	v255	The bisteeya is the clear winner here. Flaky Moroccan meat pie
u24436	v262	super cute and inviting during the day. i recommend eggs florentine with crispy bacon on the side for brunch.
u616	v262	One of my top 2 go-to spots for dinner in the East Village (the other being Casmir).  I always go for:  strip steak medium rare, béarnaise sauce, fries, escargot, cabernet.  (ps: decent brunch too)
u11466	v262	Forget the hour+ long wait at Clinton St. Bakery. $10.95 for brunch here includes coffee & OJ AND you're not surrounded by the Yelp crowd
u8756	v262	The merguez couscous is great, love this spot.
u72	v263	Remember to go check out Ceci-Cela at 55 Spring St (btw Lafayette and Mulberry) in New York. (ps: added from my iPhone!)
u72	v263	the hidden back room (it took me three years to realize it was there!) is great for quick lunches or mid-day meetings over tea
u72	v271	sit by the front (open) windows in summer -- there are so many great places in the area that it's great for people watching
u80104	v271	Love @ first sight!
u82569	v278	We love the Vegetarian Platter \u2013 3 dishes with tahini dressed salad is the perfect lunch time treat.
u57576	v278	This guy brought Falafels to the USA. not only the best and cheapest, but it's just magical. Try a Falafel with hummus sandwich for $3 then I'll take thank you notes ;-p
u2637	v278	Mamoun's is the best place to have a falafel or shawerma. Om nom nom nom.
u5009	v278	Ridiculously cheap falafel for the quality. Drop by if you're in the neighborhood and looking for a cheap, tasty, and relatively filling snack.
u23264	v278	Get the Falafel Pita and the Shawarma Pita = $7.50 - some of the best food\/late-night food\/street food in planet America
u31304	v278	Solid. Hot sauce is real hot though - casual warning
u24915	v278	obv the falafel but the chicken is also delish!
u9039	v278	Get the falafel...duh! The chicken kabob is pretty good too btw.
u231935	v278	2.50 falafel in 30 seconds. Great food for late nights or quick lunches.
u185945	v284	Great!!! Best hot dog in the world!!! Cheap, quick and excellent!!! Must see and check point in New York if you are a hot dog fan as myself ;)
u47178	v284	Best late-night-post-bar food ever.
u87196	v284	Hotdogs are amazing. Leave the hotdog carts alone
u202050	v284	Recession Special isn't bad at all. Two hot dogs and a drink for $4.45(tax included)
u72	v291	Mario Batali's first restaurant
u86693	v291	Monday-Tuesday complimentary wine with your meal!
u208163	v291	Nicole is the best waitress in NYC... ask her recommendations and pairing suggestions for both food and wine.
u2720	v307	Cheap & cheerful. Excellent Italian comfort food.
u462	v308	Great steaks and hang out bar.
u219604	v308	Don't bother with the bar.
u105569	v308	Service was pleasant but slow. Steak was delicious.
u6243	v308	I loved the New York, Steak & Tuna Tartare.
u257034	v309	A scoop can consist of two flavors you want -- and still the same price
u135005	v309	Try the taro flavor, it's a refreshing way to end a meal. Super delicious.
u163242	v309	Black sesame + green tea ice cream. Nom nom nom.
u107013	v309	zen butter - best ice cream you'll ever have
u10565	v309	Red bean ice cream is great- don't let the \
u13259	v313	Try the yummy tomato eggplant soup. (it's vegetarian!)
u90033	v313	Try the macaroons! A tasty treat to top off your meal.
u82569	v315	Elegant evocations of regional Mexican fare, from the legendary mole known as manchamanteles (\
u28357	v315	order lots of guacamole and appetizer, entrees are so so
u43410	v315	Sit at the bar, chat it up with the bartender and you'll get the best margaritas on the rocks...plus you have get some guacamole!
u47178	v316	A bit expensive and touristy, but the food is always yummy. Try the double pan fried noodles!
u23677	v316	TRY THE MOJITO'S.
u47991	v316	Dragon Roll is the shit! Anything with Eel  is good.
u201938	v317	pulled pork sandwich is the bizness!!!
u72	v318	pho suon nuong (combination rice noodles soup with grilled pork chop): much needed for those cold, cold lazy Sunday lunches (5 degrees out!)
u193062	v318	best Pho I've had in NYC yet
u72	v318	have read about this place twice today (once from jexe). need to try more such places in my hood
u105569	v318	I ate the whole plate. The whole plate. #12 beef + noodle + broth.
u107013	v318	The food is delicious. Overall experience could be better, not a fan of the top 40 radio & commercials, but highly recommend if in the area & looking for a great, cheap bite.
u72	v328	that one day you're feeling especially fat, come here and get your choice of burger and\/or philly cheesesteak and\/or hot dog (and is better)
u8466	v328	I like to get a turkey burger on an English muffin.
u132611	v328	The Best! And i mean the Best Burgers in NYC period!
u47683	v328	One of my favorite burger places. Opt for the classic along with gravy cheese fries.
u14912	v328	I got the Soul Burger--a bacon cheeseburger with ham and fried onions. Loved it.
u14912	v328	The Eastsider is their specialty, and it's pretty darn good: bacon, ham, mushrooms, tomatoes, and fried onions.
u41557	v328	Sweet potato fries with mayo, bacon cheddar burger and an Ice Cold Stella!
u10565	v328	Bacon cheeseburger is big, and delicious.  Sweet potato fries!
u48682	v328	Not that great, tastes like meatloaf
u24436	v332	really fantastic choices for brunch! try something you normally wouldn't.
u1509	v332	have the poached eggs & salmon over potato cake. Yum!
u34450	v332	Seriously wonderful EV staple. Get the Schnitzel or the Hanger Steak (the price is a steal!)
u3125	v332	Not 24 \/7 anymore!  Kitchen closes at like 1 or 2 on weekend nights
u64130	v332	americano, eggwhite omelette with spinach, tomato, and feta, wheat toast, well-done homefries. curative for most hangovers.
u1509	v332	Rarely ever a wait, breakfast till 4 everyday including remarkably yummy oatmeal & free WiFi. Also, open 24-7, hooray.
u1090	v332	Best brunch in the EV. Outdoor seating when it's warm out!
u30502	v332	The steak and eggs is terrific!
u28806	v332	Great brunch spot. Sit outside, nurse a cup of coffee (and\/or a hangover) and order the smoked salmon and cream cheese omelette. Delicious.
u953	v332	Best steak (and eggs) brunch in the area, weekdays too.
u22141	v332	The smoked salmon with eggs, potatoes, and hollandaise sauce is amazing. So is the brioche French toast. Best brunch I've had in NYC!
u51375	v332	Try the pomegranate sparkle! It's very delicious.
u193062	v332	The pumpkin pancakes with cinnamon yogurt were scrumptious, great poached eggs florentine there as well.
u132546	v332	They are open late. And down my street. Yay :)
u49206	v332	pumpkin pancakes were great. the side of sausage is verry good. omlettes are good too. the feta and olive especially.
u28925	v337	Peking pork chop and salt and pepper squid. The end.
u105313	v337	AMAZING, worth every $ (and it's redic cheap!). Huge portions. I love the crunchy noodles with duck sauce, pan fried noodles w\/ chicken, honey crispy chicken, & broad noodles! But everything is great!
u30792	v337	Amazing pineapple duck! The food comes out within minutes of ordering (kinda creepy). This place is 24 hours and so far the food has always been excellent. And they give you free tea too!
u59479	v337	Beers after 4am? Go downstairs. The egg drop soup is gray.
u60041	v337	Late night Beef Chow Fun, Szechuan Shrimp, & Broccoli w\/ Garlic Sauce --- best Chinese food in the city, do not be fooled by imitators, go downstairs
u11947	v339	Try the Fish Tacos... pretty amazing!
u1319	v349	If you come here late enough, you might see a supermodel with just a little bit of cocaine under her nose. Also the doner kebab is delicious
u21380	v349	I don't want to proclaim this spot as the best Turkish food, I definitely proclaim it the best Donna Kebab spot and Turkist desert, soooooo good. After a long night on LES and you're starving, this hi
u72909	v349	Stuffed Grape leaves and Lentil Soup, yummiest!
u50152	v349	Get the lentil soup!!
u49206	v349	Get the Doner kebab. It's amazing.
u57981	v349	try the simple lentil soup, lahmajun, shepherds salad... and camilica, a real turkish soda
u26060	v355	One of the best brunch specials in NYC
u48143	v355	Try the El Vocho!
u26060	v355	One of the best brunch spots in NYC.
u216812	v355	Their white sangria is amazing. Order the Pescado A La Talla \u201cZihuatanejo\u201d ... catfish, saffron rice, green beans (my favorite part, I don't know how they cook them!).
u64130	v355	fantastic back garden room that seats 20+ for private parties
u27297	v356	Amazing sweet potato fries & maple dipping sauce.
u42406	v358	Great happy hour: 2-4-1 until 8pm and great cocktail list!!!
u33560	v359	the staff is super rude but the pastries are pretty good.
u63432	v360	Awesome cupcakes
u11075	v360	the cupcakes are great, but I luv the pumpkin whoopie pie, sugar cookies & icebox cake. yum!
u17239	v360	Umit Benan, famed Turkish Designer: \
u62266	v360	Only when something to celebrate, avoid during Weekends, super busy. Take the carrot cupe cake, your day will be all good!
u11372	v360	The cupcakes taste like a stick of butter. Get the bread pudding or coconut cake with a cup of coffee.
u37391	v360	Let's hit up Magnolia and mack on some cupcakes.
u16769	v360	It's all about the banana pudding. Go ahead and get a large. Thank me later.
u134	v360	Eat here.  Diet at home.  Enough said.
u25094	v362	Great steak and all the fixins. Lively atmosphere but seems a bit formulaic (as if it were a chain). (3 of 4 petals via Fondu)
u151828	v362	If you don't mind the lousy service where the server is missing 99% of the night and don't mind waiting 30 mins to get your order taken then this is the place for you! :-)
u165056	v362	I agree with Jason V.
u74287	v364	Great food and service...come here every Sat after the gym
u27297	v370	The veal parm is pretty darn good.
u104	v371	The sign might say \
u20964	v371	For those nights when you want to sample a rnage of sakes and hideaway.
u9962	v371	Try the pink milky thick rich Beni Kanbai Nigori Sake. U might really like it.
u18652	v377	Great brunch on sundays!
u20186	v381	I ounce ate about a thousand oysters
u190590	v382	IMHO best bagel in NYC. Everything bagel is beyond words.
u197936	v382	Great bagels, though they are enormous.
u167730	v382	Great bagels, but overpriced. They charge an extra .10 just to slice your bagel. 2nd favorite in the city.
u49297	v389	Cute, cozy cafe... Good, reasonably priced snacks. $5 organic breakfast egg roll... A real winner!!
u72	v390	date spot at good enough to eat -- home cooked food, cows everywhere...feels like you are eating at a farm. (sit on the window bench by the bar and watch passersby as you eat!)
u2374	v390	Mac and cheese: Decent. Not awesome, but worth having.
u20537	v390	Cheese grits = amazing. Order a bloody Mary with whatever your breakfast pick is, add bacon & jalepenos
u19066	v390	worth the wait, best breakfast I have had in nyc!  the place inside is chilled, the wait staff friendly, deserts crazy good.  don't worry the line moves fast!
u19522	v390	Espresso here is really good (you can trust in a Brazilian opinion on this!). Tasty, creamy, right temperature. Really good!
